Code,Course,Activity,Section,Days,Start Time,End Time,Venue,Lecturer
LMPU3192,Falsafah dan Isu Semasa,Lecture,FCI1,Thursday,10:00 AM,12:00 PM,CNMX1001,
LDCW6123,Fundamentals of Digital Competence for Programmers,Lecture,FCI1,Monday,3:00 PM,6:00 PM,CQCR2002,
LDCW6123,Fundamentals of Digital Competence for Programmers,Lecture,FCI2,Friday,9:00 AM,12:00 PM,CQCR2002,
LMPU3212,Bahasa Kebangsaan A,Lecture,FCI1,Tuesday,4:00 PM,6:00 PM,CQMX0001,
LMPU3272,Japanese for Beginners,Lecture,FCI1,Tuesday,12:00 PM,2:00 PM,CQAR0006,
LMPU3282,Korean for Beginners,Lecture,FCI1,Tuesday,12:00 PM,2:00 PM,CLCR1025,
LMPU3232,French for Beginners,Lecture,FCI1,Monday,12:00 PM,2:00 PM,CLCR1025,
LMPU3182,Penghayatan Etika dan Peradaban,Lecture,FCI1,Tuesday,3:00 PM,5:00 PM,CQAR1009,
LMPU3142,Bahasa Melayu Komunikasi 2,Lecture,FCI1,Friday,3:00 PM,5:00 PM,CLCR1025,
LMPU3213,Bahasa Kebangsaan A,Lecture,FCI1,Wednesday,8:00 AM,11:00 AM,CQMX0001,
LMPU3123,Tamadun Islam dan Tamadun Asia,Lecture,FCI1,Friday,3:00 PM,6:00 PM,CQCR2004,
LMPU3323,Introduction to Multicultural Studies in Malaysia,Lecture,FCI1,Thursday,2:00 PM,5:00 PM,CLBR1022,
LMPU3113,Hubungan Etnik,Lecture,FCI1,Friday,9:00 AM,12:00 PM,CLBR1021,
LMPU3173,Pengajian Malaysia 3,Lecture,FCI1,Friday,9:00 AM,12:00 PM,CLCR3045,
CMA6114,Calculus,Lecture,TC1L,Monday,10:00 AM,12:00 PM,CNMX1004,
CMA6114,Calculus,Lecture,TC1L,Thursday,8:00 AM,9:00 AM,FCIV0002,
CMA6114,Calculus,Tutorial,TT1L,Wednesday,2:00 PM,4:00 PM,CQCR2004,
CMA6114,Calculus,Tutorial,TT2L,Friday,10:00 AM,12:00 PM,CQCR2001,
CMA6114,Calculus,Tutorial,TT3L,Tuesday,12:00 PM,2:00 PM,CQCR2004,
